7000,849, 735, 537
8000,529, 531, 526
9000,527, 526, 530
10000,531, 518, 525
11000,533, 520, 533
12000,535, 530, 524
13000,524, 539, 539
14000,531, 525, 533
15000,527, 529, 527
16000,525, 523, 520
17000,4200, 4209, 4246
18000,4278, 4276, 4245
19000,4168, 4202, 4154
20000,4256, 4212, 4186
21000,4214, 4236, 4225
22000,4260, 4201, 4197
23000,4206, 4200, 4222
24000,4230, 4200, 4226
25000,4226, 4206, 4197
26000,4244, 4221, 4213
27000,4233, 4207, 4211
28000,4231, 4198, 4197
29000,4190, 4246, 4251
30000,4241, 4258, 4202
31000,4204, 4222, 4223
32000,4217, 4200, 4208
33000,4213, 4206, 4225
34000,4220, 4213, 4202
35000,4249, 4237, 4257
36000,4222, 4218, 4193
37000,4232, 4214, 4195
38000,4253, 4251, 4206
39000,4258, 4226, 4222
40000,4240, 4213, 4240
41000,4247, 4224, 4235
42000,4191, 4183, 4182
43000,4216, 4202, 4216
44000,4243, 4211, 4195
45000,4221, 4170, 4174
