7000,424, 413, 382
8000,414, 371, 374
9000,385, 381, 364
10000,387, 397, 378
11000,376, 378, 373
12000,387, 380, 394
13000,369, 382, 369
14000,389, 369, 375
15000,359, 387, 381
16000,373, 374, 386
17000,3035, 3116, 3144
18000,3426, 3047, 2971
19000,3043, 2987, 3015
20000,2991, 2978, 2961
21000,2969, 2965, 2988
22000,2965, 2988, 2944
23000,2956, 3001, 3001
24000,2932, 2948, 2957
25000,3003, 2965, 2986
26000,2920, 2969, 3010
27000,2976, 2977, 2964
28000,2985, 2928, 3030
29000,2939, 2958, 2993
30000,2994, 2955, 2964
31000,2956, 2962, 2978
32000,2988, 2946, 2978
33000,2953, 3007, 2916
34000,2967, 2981, 2960
35000,3003, 2949, 2978
36000,3025, 2983, 3014
37000,2981, 3013, 2937
38000,2963, 2958, 3010
39000,2953, 2972, 2957
40000,2967, 3004, 2971
41000,3030, 3032, 3018
42000,2992, 2947, 3021
43000,2977, 2943, 2976
44000,2952, 3007, 3020
45000,2998, 2962, 2951
