7000,676, 651, 669
8000,654, 664, 658
9000,677, 660, 653
10000,664, 664, 664
11000,664, 662, 659
12000,667, 660, 652
13000,654, 662, 653
14000,666, 667, 659
15000,667, 663, 677
16000,669, 672, 669
17000,5372, 5318, 5337
18000,5361, 5337, 5346
19000,5361, 5358, 5307
20000,5344, 5329, 5327
21000,5348, 5350, 5338
22000,5357, 5366, 5360
23000,5383, 5340, 5367
24000,5345, 5312, 5320
25000,5397, 5378, 5324
26000,5367, 5342, 5355
27000,5370, 5354, 5307
28000,5369, 5361, 5342
29000,5373, 5333, 5358
30000,5353, 5338, 5361
31000,5365, 5350, 5325
32000,5349, 5391, 5366
33000,5359, 5358, 5342
34000,5340, 5342, 5373
35000,5344, 5323, 5339
36000,5356, 5381, 5359
37000,5373, 5358, 5376
38000,5357, 5341, 5308
39000,5340, 5336, 5326
40000,5320, 5366, 5334
41000,5383, 5344, 5345
42000,5344, 5335, 5340
43000,5364, 5353, 5371
44000,5367, 5333, 5380
45000,5348, 5388, 5344
