7000,255, 226, 223
8000,210, 183, 174
9000,158, 179, 160
10000,153, 165, 158
11000,162, 154, 161
12000,168, 149, 162
13000,157, 156, 136
14000,149, 160, 148
15000,165, 146, 156
16000,156, 150, 167
17000,1264, 1299, 1290
18000,1285, 1266, 1261
19000,1265, 1311, 1267
20000,1273, 1249, 1279
21000,1279, 1266, 1304
22000,1285, 1231, 1286
23000,1268, 1319, 1276
24000,1241, 1268, 1288
25000,1270, 1285, 1308
26000,1306, 1305, 1272
27000,1277, 1293, 1280
28000,1276, 1253, 1272
29000,1305, 1327, 1298
30000,1306, 1259, 1347
31000,1280, 1266, 1287
32000,1304, 1248, 1265
33000,1231, 1271, 1241
34000,1285, 1327, 1274
35000,1224, 1298, 1227
36000,1232, 1253, 1232
37000,1287, 1302, 1341
38000,1250, 1273, 1258
39000,1314, 1356, 1245
40000,1304, 1253, 1262
41000,1297, 1301, 1307
42000,1306, 1299, 1280
43000,1248, 1275, 1269
44000,1300, 1270, 1282
45000,1309, 1280, 1264
