7000,347, 337, 336
8000,342, 280, 241
9000,219, 219, 218
10000,211, 205, 209
11000,221, 227, 216
12000,211, 212, 206
13000,215, 216, 210
14000,214, 214, 216
15000,210, 209, 205
16000,224, 219, 216
17000,1717, 1732, 1731
18000,1772, 1775, 1751
19000,1761, 1776, 1764
20000,1729, 1741, 1729
21000,1745, 1755, 1736
22000,1745, 1733, 1728
23000,1728, 1747, 1766
24000,1761, 1720, 1745
25000,1754, 1748, 1742
26000,1758, 1740, 1766
27000,1727, 1715, 1719
28000,1749, 1770, 1749
29000,1757, 1777, 1737
30000,1758, 1749, 1741
31000,1737, 1732, 1747
32000,1721, 1719, 1736
33000,1738, 1726, 1740
34000,1764, 1757, 1773
35000,1729, 1713, 1714
36000,1715, 1709, 1714
37000,1762, 1762, 1752
38000,1736, 1713, 1709
39000,1781, 1766, 1767
40000,1721, 1726, 1759
41000,1784, 1770, 1766
42000,1745, 1731, 1777
43000,1727, 1710, 1719
44000,1756, 1761, 1755
45000,1767, 1752, 1752
