3000,115, 64, 61
4000,67, 60, 67
5000,494, 484, 468
6000,526, 547, 524
7000,532, 519, 478
8000,500, 507, 503
9000,515, 494, 505
10000,466, 463, 469
11000,479, 467, 472
12000,458, 470, 486
13000,480, 485, 473
14000,458, 464, 458
15000,483, 492, 529
16000,503, 478, 463
17000,4108, 3962, 4424
18000,4392, 4405, 4338
19000,4254, 4225, 4194
20000,4194, 4294, 4341
21000,4287, 4403, 4575
22000,4457, 4341, 4326
23000,4388, 4395, 4339
24000,4412, 4354, 4467
25000,4351, 4470, 4359
26000,4517, 4411, 4317
27000,4379, 4341, 4417
28000,4693, 4707, 4603
29000,4779, 4454, 4618
30000,4343, 4345, 4391
31000,4372, 4410, 4392
32000,4615, 4395, 4330
33000,4441, 4508, 4422
34000,3688, 4561, 4387
35000,4432, 4353, 4345
