7000,491, 362, 320
8000,327, 328, 334
9000,344, 326, 306
10000,311, 330, 321
11000,329, 337, 325
12000,333, 324, 330
13000,333, 330, 332
14000,328, 329, 321
15000,309, 332, 332
16000,309, 313, 320
17000,2582, 2607, 2655
18000,2567, 2586, 2626
19000,2556, 2567, 2569
20000,2625, 2578, 2533
21000,2726, 2791, 2670
22000,2590, 2697, 2574
23000,2555, 2576, 2612
24000,2543, 2572, 2623
25000,2585, 2628, 2590
26000,2577, 2714, 2607
27000,2509, 2594, 2532
28000,2595, 2615, 2567
29000,2665, 2584, 2568
30000,2540, 2522, 2611
31000,2640, 2571, 2607
32000,2558, 2571, 2533
33000,2605, 2607, 2722
34000,2565, 2631, 2552
35000,2561, 2564, 2542
36000,2518, 2619, 2520
37000,2592, 2600, 2708
38000,2685, 2603, 2594
39000,2646, 2677, 2557
40000,2603, 2603, 2558
41000,2605, 2613, 2607
42000,2559, 2562, 2613
43000,2614, 2580, 2589
44000,2539, 2552, 2616
45000,2563, 2526, 2541
